hhconnection,pubtapstandpipe,tubewellborehole,prowell,prospring,rainwater,unprowell,unprospring,carttruck,bottled,surface,otherwater,missingwater,improvedotherwater,unimprovedotherwater,halfimprovedwater,unknownwater
Piped inside dwelling,of water public stand pipe,hand pump outside the household,puits protege,,unprotected rainwater collection,puits non protégé,,"camion, tanque, otro vendedor",,Rivers,,,"Safe/improved (Hand pump – public, Hand pump – in compound, Bored well – hand pump, Bored well motorized, Spring – protected, Pipe scheme – gravity, Pipe scheme motorized, Pipe scheme – municipal, Bowser/water tanker)",,Spring,
Piped Into Yard,pila o llave publica,hand/pump well,puits protegeing,,Água da chuva,trad. public well,,"cami¢n, tanque agua",,RiviŠre,,,Alternative housing,,Spring or rain water,
Piped Outside DU,pila o chorro público,handpump in residence/yard/plot,puits proteges,,"rainwater,fixed tank ",trad. well in resid.,,"cami¢n, tanque aguat",,"R¡o, acequia",,,safe water (ok by our definition),,Spring or well,
Piped Outside/communal standpipe,pila publica,handpump in yrd /plot,puits proteg‚,,"rainwater,fixed tank",traditional public well,,camião cistern,,"Río, vertiente, quebrada, lluvia",,,neighbor's house,,"Trae,comp. de vecino",
"Piped outside dwelling, in building",pila p£blica,manual /mechanical well,puits protégé,,Agua lluvia,traditional well in the yard,,camião cisterna,,"Río, vertiente, quebrada, lluvia ",,,,,"Vat, drum",
Piped outside the building or lot,piped - public tap / standpipe,manual pumped water,water from hand-dug and reinforcement wells,,Collected rain water,ubprotected well,,camião cisterna de distribuição,,Spring or river,,,,,Wall,
Piped outside the dwelling,piped - public tap/kiosk (free),mechanical pump well,"water from hand-dug, non-reinforced and covered wells",,Jabia/rain/harvested,uncovered well,,camión,,"Stream, lake, river",,,,,Water from hand-dug and reinforced wells,
Piped Water Community,piped - public tap/kiosk (paid for),motor pump in the household,well into residence/dwelling,,Rain water tank,unprotectd well,,camión tanque,,Stream/River,,,,,Well,
Piped Water Community,piped into pub. yard,motor pump outside the household,well with cover,,"Rain, rain tank tank",unprotected dug well,,"camión-tanque, vendedor",,Surface water,,,,,Well or cistern,
Piped Water on Premises,piped public tap,neighbor's borehole,ÿprotected external well                  {from 23},,Raining water,unprotected public well,,"camoin/tanque, vendedor",,Surfase water,,,,,Well or spring,
Piped Water on Premises,piped water  (public tap),no pipe well with electric pump,ÿprotected public well                    {from 22},,Recoveryof rainwater,unprotected well,,carro con sifón,,Water taken directly from pond-water or stream,,,,,Well without handpump,
