pubsewer,septic,pourflush,simplepit,vip,composting,bucket,openlatrine,hanging,opendef,othersan,missingsan,improvedothersan,unimprovedothersan,halfimprovedsan,unknownsan
flush to piper sewer,flush/cresspit,flush don't know where,water sealed /slab,ventilated latrine,,,ÿown rudimentary latrine,,No facilities/bush,,,,,Inodoro,
flush to sewage,flush/pour-flash connected to a septic tank,flush or pour flush toilet,water sealed /slab la,ventilated pit,,,ÿshared rudimentary latrine,,no facilities/bush/field,,,,,inodoro,
flush to sewage system,flush/pour-flashed connected to a septic tank,flush other,water sealed/slab la,ventilated pit latrine,,,letrina de hoyo o pozo negro sin plataforma para sentarse,,no facility,,,,,Inodoro colectivo,
flush to sewage system or septic tank,flust toilet (septic tank),flush other,water sealed/slab latrine,ventilated/improved pit latrine,,,letrina solar sin plataforma para sentarse,,no facility  / field,,,,,inodoro compartido,
flush to sewage system/septic tank,fosa septica,flush system,ÿown improved latrine,Ventilation Improved Pit latrine/KVIP,,,Open latrine,,no facility / bush / field,,,,,Inodoro individual,
flush to sewer system,fossa septica,flush to absorption pit,ÿshared improved latrine,vip,,,non covered latrine,,no facility /bush,,,,,Inodoro Privado,
flush toilet (sewer),fosse d'aisance du latrine,flush to elsewhere,letrina de hoyo o pozo negro con plataforma para sentarse,VIP Fosse,,,"priv latrine, wo/box",,no facility /bush/field,,,,,inodoro privado,
flush toilet + sewer,fosse septique,flush to latrine,letrina solar con plataforma para sentarse,vip latrine,,,"share latrin, wo/box",,"no facility, bush",,,,,Inodoro Publico,
flush toilet - sewer,Fosse septique,flush to pit,Water sealed/slab latrine,VIP latrine,,,Fossa Rudimentar,,"no facility, bush, field",,,,,inodoro publico,
flush toilet connected to sewer system,hole (pozo ciego),Flush to pit (latrine),closed pit toilet,VIP toilet,,,Vala Aberta,,"no facility, bush/field",,,,,Inodoro(lavable),
flush toilet to piped sewer system,household flush (connected to septic tank),flush to pit (latrine),covered hole,ÿventilated improved pit latrine,,,Holein the yard,,"no facility, bush/field/public toilet",,,,,inside dwelling,
Flush toilet to sewer,hoyo negro o pozo ciego,flush to pit latrine,Closed pit,improved - ventilated,,,Open pit,,"no facility, nature",,,,,inside house,
flush toilet with septic tank/sewage pipes,indoro/pozo septico,Flush to somewhere else,Covered Pit latrine,Vent.imp.pit latrine,,,Uncovered pit,,"no facility,bush",,,,,inside house shared,
flush with sewer,Inodoro a fosa septica,flush to somewhere else,Covered pit,Own VIP,,,Katcha,,no facility/ bush/ field,,,,,Inside house(exclusive,
flush/pour-flash connected to a piped sewer system,inodoro a fosa septica,flush to unknown place/not sure/dk where,Covered pit latrine (with slab),Pit latrine with ventilation pipe,,,Pucca (not water sealed),,no facility/ bush/ field/ river,,,,,"inside house, no flush",
Flush/sewerage,inodoro conectado a fosa septica,Flush Toilet,Covered pit latrine (without slab),"VIP latrine, private",,,Tranch,,"no facility/bush, field",,,,,interieur,
flushed to piped sewer system,inodoro conectado a sumidero o pozo septico,Flush toilet,Pit latrine with Slab,"VIP latrine, shared",,,uncovered open pit,,no facility/bush/field,,,,,latrina seca/latrina com descarga manual,
household flush (connected to municipal sewer),"Inodoro, conectado a sumidero o pozo septico",flush toilet,Pit latrine with slab/closed pit,Ventilated Improved Pit Latrine (VIP),,,slit latrine,,no facility/bush/field/beach,,,,,latrina tradicional,
indoro/alcantarillad,inodoro-pozo septico,flush toilet (private or shared unknown),Pucca (water sealed),Ventilated covered pit latrine,,,"A hole, digging in the ground",,no facility/bush/field/river,,,,,latrina tradicional ou cerco,
inodoro con alcantarillado/pozo séptico,inodoro-pozo s‚ptico,flush toilet (rain water sewer),improved latrine,Ventileted Improved pit latrine,,,pit latrine without slab/open pit*,,no facility/bush/fld,,,,,Latrine,
inodoro conectado a red de drenajes,latrine (ciego o negro),flush toilet (rivers),water-sealed,Vertilated pit latrine,,,,,no facility/field,,,,,latrine,
inodoro que descarga en tuberia de aguas negras,latrine connected to a septic tank,flush toilet (sink-sumidero),traditional covered latrine,communal VIP,,,,,no facility/uses bush/field,,,,,latrine,
"inodoro, conectado a tuberia de aguas negras",latrine to septic tank,flush toilet does not know connection,Enclosed pit latrine,communal vip,,,,,no hay sanitarios (defecación al aire libre),,,,,latrine a evacuation,
"Inodoro, conectado a tuberias de aguas negras",letrina o pozo ciego,flush toilet in another dwelling,dearan/sahrah (area in compount-but not pit),own ventilated improved pit latrine (VIP),,,,,no hay servicio,,,,,latrine a fosse,
inodoro-alcantarill.,"Letrina, Pozo ciego, escusado",flush toilet in house,pit latrine water seal,ventilated improved (vip),,,,,No Latrine,,,,,latrine collective use,
latrine /sewer commun,"letrina, pozo ciego, escusado",flush toilet not connected to sewer system,pit latrine with washable slab*,ecosan,,,,,no latrine,,,,,latrine family use,
latrine /sewer privat,other - to septic tank,flush toilet private,pit latrine with non-washable slab*,,,,,,no mato ou ar livre,,,,,latrine no-connected,
latrine connected to sewer/with septic tank,own latrine with septic tank,flush toilet shared,,,,,,,no service,,,,,latrine shared/general/other,
latrine to piped public drainage,poceta o pozo septico,flush toilet to pit latrine,,,,,,,No tiene,,,,,latrine to other,
latrine to sewer,por pozo resumidero,flush toilet to somewhere else,,,,,,,no tiene,,,,,latrine traditionnelle,
letrina con conexion de agua,pour-flush latrine connected to septic tank,flush toilet with connection to open water,,,,,,,NO TIENE,,,,,latrine … ‚vacuation,
Main Sewer,pozo ciego,flush toilet with drainage,,,,,,,"no tiene excusado, retrete, sanitario, letrina u hoyo negro",,,,,latrine à évacuation,
modern flush,pozo negro o ciego,"Flush toilet, private",,,,,,,no tiene sanitario,,,,,"latrine, community",
modern flush toilet,Pozo negro o ciego,"Flush toilet, shared",,,,,,,No tiene sanitario,,,,,"Latrine, Pit",
modern flush toilets,Priv. w/septic tank,"flush toilet,private",,,,,,,no tiene sanitario o matooral o campo,,,,,"latrine, private",
piped,private - with septic tank,"flush toilet,shared",,,,,,,"no tiene sanitario, usa matorral/campo",,,,,latrines,
poceta a cloaca,Private Ceptic/Latrine,flush toilet: own,,,,,,,no tiene servicio sanitario,,,,,latrines  a evacuation,
