hhconnection,pubtapstandpipe,tubewellborehole,prowell,prospring,rainwater,unprowell,unprospring,carttruck,bottled,surface,otherwater,missingwater,improvedotherwater,unimprovedotherwater,halfimprovedwater,unknownwater
Agua por tuberia dentro de la vivienda,fontaine,hand pump in resid,protect public well,,Precipitation,open well in yard /plot,Unprotected spring,camión,,flowing river,OTRO,Unknown,inside neighbor's house,,,
"agua por tuberia fuera de la vivienda, dentro del terreno",Fontaine publique,Hand pump in residence/ yard/ plot,protect. well /borehl,,"priv. catchment, not piped",open well in yard/ plot,unprotected spring,Camión aguatero,,Flowing river,Otro,unknown,inside the house,,,
"Agua por tuberia fuera de la vivienda, dentro del terreno",fontaine publique,hand pump in the household,Protected Dug Well,,Private catchment,open well in yard/compound,Unprotected Spring,Camión repartidor,,flowing river/stream,otro fuente,unspecified,Internal channel,,,
"agua por tuberia fuera de la vivienda, dentro del terreno ",FontaineFree,hand pump outside the household,protected dug well,,Private Catchment,open well in yard/plot,unprotected well or spring,camión tanque,,flowing water,"Otro, cual",,mains <=200m,,,
agua tuberia red publica dentro vivienda,Fontainepay,Hand pump/borehole/protected well,Protected dug well,,Private catchment not piped,Open well in yard/plot,unprotected well/spring,"camión, carreta o pipa",,FUENTE NATURAL,"otro, cual?",,mains >200m,,,
agua tuberia red publica fuera vivienda,Fontaines publiques,hand/pump well,protected dug well in dwelling/yard/plot,,private catchment not piped,open well water,unprotected well/spring in yard/plot,"camión, tanque, otro vendedor",,"Fuente natural: rio, quebrada, naciente, vertiente, lago",outra,,MANGUERA,,,
aqua duct,fontenário,Handpump in residence/yard/plot,Protected dug well/spring,,Private Catchment Not Piped,open well with sump pump,Uprotected Spring,"Camión, tanque, otro vendedor",,"fuente natural:rio, quebrada, naciente, vertiente, lago",outras,,Manguera (fuente no especificada),,,
Aqueduct,Fountain,handpump in residence/yard/plot,protected public dug well,,private catchment not piper,open well without sum pump,Waterhole or spring,"camión-tanque, vendedor",,improved stream,Outro,,Matfiaprivate,,,
aqueduct. public net,fountain,handpump in yrd /plot,Protected public well,,"Private catchment, not piped",open well without sump pump,well /spring outside,camión/carreta/pipa,,irrigation canal,outro,,Na casa do vizinho,,,
Aqueductoutside the house,Have access to public piped water,handpump in yrd/plot,protected public well,,private catchments,open well/hole/cesspool in residence,well or spring,"camoin/tanque, vendedor",,irrigation ditch,per carry other,,neighbor - unspecifi,,,
canalização externa,Hydrant,handpump/tubewell water,protected waterhole,,"private catchments, not piped",open well/hole/cesspool outside residence,Well or spring,carro con sifón,,lac,,,Neighbors,,,
canalização interna,inside standpipe,manual /mechanical well,Protected well,,private catchments/rainwater,outside dwelling / within resinct,Well or Spring- Unprotected,carro repartidor,,lac/riviere/ruisseau,,,Neighbour,,,
ca¤er¡a privada,Javna cesma,manual pumped water,Protected Well,,Private vat / drum / well not piped,Outside the field- well,"well, well or spring water",Carro Repartidor,,"lago, laguna",,,neighbour,,,
cañeria (chorro) del vecino,jetpublic,mechanical pump well,protected well,,"private, vat/drum/well, not piped",Outside the home but within the field- well,well/spring inside,CARRO REPARTIDOR (TANQUERO),,"lagoa, rio ou riacho",,,neighbouring,,,
cañeria (chorro) dentro de la vivienda,llave fuera de la propiedad a 100 metros o mas,motor pump in the household,protected well - in dwelling,,private- rain water,Poco,well/spring outside,carro repartidor/triciclo,,"lagoa, rio, ribeiro",,,"Network, type not specified",,,
cañeria (chorro) fuera de la vivienda pero dentro de la propiedad,llave fuera de la propiedad a menos de 100 metros,motor pump outside the household,protected well - in yard/plot,,protected rainwater collection,poco,wells/spring,cart with small tank,,lake,,,of a neighbor,,,
cañería al hogar,llave publica,motorized pumping/tube well,protected well - public,,Public catchment,pozo,ÿspring,Cart with small tank/ drum,,Lake,,,olho d agua/mina,,,
centralized pipeline,llave pública,Motr. Pumping/Tube well,protected well / borehole in dwelling,,Rain,Pozo,ÿspring                                   {from 41},cart with small tank/drum,,"lake, pond",,,Olho D agua/Mina,,,
centralized water pipe,neighbors stand pipe,motr. pumping/tube well,Protected well /Borehole in yard/plot,,rain,POZO ABIERTO,ÿû spring,cart with tank/drum,,"lake, pond, dam",,,otra vivienda,,,
CHORRO DE VECINO,of water public stand pipe,neighbor's borehole,protected well in dwelling,,Rain catchment,pozo brocal no protegido,,COMPRAN,,"lake, river, etc.",,,outside house,,,
chorro de vecino,pila o chorro público,no pipe well with electric pump,protected well in dwelling or yard/plot {cg},,Rain catchment tank,Pozo brocal no protegido,,delivered by water distributor,,"lake, river, stream",,,own system of water supply,,,
chorro del vecino,pila o llave publica,no pipe well with hand pump,protected well in dwelling/yard/plot,,rain water,pozo colectivo,,delivery/water seller,,lake-river,,,pil¢n,,,
chorro en casa,pila publica,open well with sum pump,protected well in someone else's yard/plot,,Rain water,Pozo colectivo,,la compran,,lake/ pond/ stream,,,Pil¢n,,,
CHORRO EN CASA,Pila publica,Outside the field- Drilling motor pump,protected well in yard,,rain water system,pozo en la casa,,La compran/carro cisterna,,lake/dam,,,pretected source,,,
CHORRO EN PATIO,pila p£blica,Outside the field- Drilling with hand pump,protected well in yard/ compound,,rain water tank,pozo malacate (sin bomba),,Mobile Tanker,,Lake/Dam,,,Priv. in house,,,
chorro en patio,Pila p£blica,Outside the home but within the field- Drilling motor pump,protected well in yard/plot,,Rain water tank,Pozo malacate (sin bomba),,no pipe street vendors,,lake/pond,,,Priv. outside,,,
CHORRO PARTICULAR,"pila, tanque público",Outside the home but within the field- Drilling with hand pump,protected well outside premises,,rain watertank,pozo no protegido/descubierto,,Outside the field- Transport by tanker,,"Lakes, creeks",,,private,,,
chorro particular,Pilon for public use,POZO C/BOMBA DE MANO,Protected well within premises,,"rain, others",pozo o aljilbe,,Outside the home but within the field- Transport by tanker,,levada,,,private aqueduct,,,
"Compra particular de puesto, pipo o vecino",pilon/grifo publico,POZO C/BOMBA ELECTRICA,"Protected well, spring",,"Rain, rain tank tank",Pozo o noria,,per carry trank truck,,Levada *,,,private not piped,,,
cut official pipe,Pilón? / Public Tap,POZO CON BOMBA,protected without pump,,rain-water tank,pozo publico,,Public Tank,,manantial (puquio),,,Private system,,,
cut pipe,piped - public tap / standpipe,Pozo con bomba (electrica o manual),protected/covered well,,rain/snow water collection,Pozo publico,,pump trucks,,"manantial, rio o arroyo",,,private- not piped,,,
de la llave/cisterna del vecino,piped - public tap/kiosk (free),pozo con bomba (electrica o manual),Pub. well protec,,Raining water,POZO PUBLICO,,purchase,,"manantial, rio, arroyo, canal",,,private/not piped,,,
de la red pública dentro de la vivienda,piped - public tap/kiosk (paid for),pozo con bomba de mano,public /private well,,rainwater,pozo p£blico,,Purchase ofwater truck,,"Manantial, r¡o...",,,protected source,,,
DE PIPA,piped into pub. yard,Pozo con bomba electrica,public covered well,,Rainwater,pozo público,,Purchasebuckets,,"manantial, río o arroyo",,,"protected, pumped {cg}",,,
de pipa,piped public fountain,pozo con bomba electrica,Public covered well,,Rainwater (into tank or cistern),pozo sin bomba,,purchased water,,mare ruisseau ou fleuve,,,Public service: inside dwelling,,,
de una pipa del servicio particular,piped public tap,pozo con tuberia/bomba,Public or private well,,rainwater (tank),POZO SIN BOMBA,,Purchasetreated water,,"mare, lac",,,"Public service: outside dwelling, inside building",,,
de una pipa del servicio publico,piped water  (public tap),pozo con tubería/pozo con bomba,public protected well,,rainwater - public or community tank,Pozo sin bomba,,retail plumber,,"mare, ruisseau ou fleuve",,,"Public service: outside dwelling, inside building (pylon)",,,
del acueducto del patio de la casa,Piped water community supply,Pozo Mecanico,Public well (protected),,rainwater - tank in compound,pozo sin bomba de mano,,revendeur d'eau,,mare/ riviere/ruisseau/lac,,,Public system,,,
del acueducto dentro de la casa,piped water elsewhere,pozo mecanico,"public well, cement, covered",,rainwater /tank/ciste,pozo sin proteger,,Seller Water,,mare/fleuve ou ruisseau,,,Public System,,,
del acueducto en el patio de la casa,piped water in public key (or hydrant),pozo mecánico/manual,public/neighbor's well,,rainwater cistern,pozo subterraneo sin protección o fuentes sin protección,,tank,,mare/lac/marigot,,,puits ds logement,,,
del acueducto fuera de la casa(acera),"Piped water outside, public fountain",pozo protegido o agujero perforado en el suelo,Puits busés fermés,,rainwater collected in tank,pozo subterráneo sin protección o fuente sin protección,,Tank,,mare/ruisseau/cours d'eau river or stream,,,pure drinking water,,,
desalinated piped,piped water-public tap,POZO S/BOMBA DE MANO,Puits busés simples,,Rainwater collection,Pozos o noria,,tank car,,Marigot,,,purified water,,,
eau  robinet dans  logement,"piped, public utilit",Private borehole,puits protege,,rainwater collection,poço,,Tank Driving,,"marigot,lac",,,residence/yard/plot,,,
eau  robinet dans cour/ parcelle,Power supply (with installation inside the house)- Community public water,private pump,Puits protege,,rainwater in a cistern,Poço não protegido,,Tank truck,,"Marigot,lac",,,rural /priv. aqueduct,,,
