pubsewer,septic,pourflush,simplepit,vip,composting,bucket,openlatrine,hanging,opendef,othersan,missingsan,improvedothersan,unimprovedothersan,halfimprovedsan,unknownsan
"Da, javna kanalizacija",descargan en pozo ciego,ex.co. avec ch d eau,letrina compartida con cajon,letrina ventilada/mejorada,,,Holein the yard,river /canal,letrina al aire libre,otra forma,not stated/missing,neighbours toilet,share toilet,,
descarga para o sist.de esgoto ou fossa,Descargan en pozo ciego,ex.pr. avec ch d eau,letrina compartida con cajón,own vent. imp. lat.,,,household pit,river /creek/stream,"mato, praia ou campo",otro,NS,neighbours' toilet,share/public/other toilets,,
desgüe al sistema de alcantarillado,descargan en pozo septico,Exclusive Flush Toilet,letrina con taza/excusado,own ventilated improved pit latrine (VIP),,,In private-hole or latrine,river or creek,nearby (bush/beach/field),Otro,ns/nr,no flush toilet,shared,,
Drainage system,Descargan en pozo septico,excusado o sanitario con rubor o conexion de agua,letrina de hoyo o pozo negro con plataforma para sentarse,Own VIP,,,In shared-hole or latrine,"river, canal",NINGUNO,OTRO,nsp,No flush toilet,shared public,,
egout,desgüe a fosa séptica,Flash toilet,Letrina indiv c/caj,pit latrine - ventilated improved pit (vip),,,Katcha,"river, stream, creek",no,outras,NZ,"no flush, in house",Shared Public,,
evacuación a alcantarillado,direct on cesspool,flash toilet,letrina privada con cajon,Pit latrine ventilated and not elevated,,,Latrina não melhorada (laje),river/canal,no bathroom,Outro,não resposta,"no flush, in-house",shared toilet,,
excusado con conexion de agua,evacuación a pozo séptico,Flish conn. to open drain,letrina privada con cajón,pit latrine ventilated improved pit latrine,,,latrina seca/latrina com descarga manual,river/stream,No dispone,outro,Uninformed,no toilet in the house,Shared toilet,,
excusado conectado a alcantarrillado,excusado conectado a pozo ciego,flish conn. to open drain,letrina sanitaria,Pit latrine with ventilation pipe,,,latrina tradicional,river/stream/creek,no dispone de servicio sanitario,outros,Unknown,No toilet in the household,shared WC,,
excusado o sanitario con conexion de agua,excusado conectado a pozo septico,flish toilet,letrina solar con plataforma para sentarse,"Pit latrine, ventilated and elevated",,,latrina tradicional ou cerco,river/stream/creek,no disponen de servicio sanitario,,unknown,no toilet in the household,"Shared, public",,
excusado y alcantarillado,excusado conectado a una fosa septica,flush,Long drop latrine inside house,"Pit latrine, ventilated and not elevated",,,latrine,stream/river,no fac. /bush/field,,unspecified,"no, only Polish WC","shared, public",,
EXCUSADO Y ALCANTARILLADO,excusado o sanitario conectado a una fosa septica,Flush,non-vip pit latrine with slab,"pit latrine, ventilated improved",,,latrine,toilet colgante,no fac./bush/field,,,Non flushed toilet,"shared, without septic tank",,
flush - to piped sewer system,excusado y pozo ciego,Flush (Manual),pit latrine - with slab,Pit/Blair toilet,,,Latrine,toilet directly over the water,no facilities,,,"not connected, have toilet, type not specified",shared/public,,
Flush conn. to public sewerage,excusado y pozo septico,Flush (Mechanical),pit latrine - with slab,shared vent. imp lat,,,latrine  traditionnelles non couvertes,Toilet discharge in river or creek,No facilities,,,"not connected, no flush toilet",toilet in common,,
flush conn. to public sewerage,EXCUSADO Y POZO SEPTICO/CIEGO,flush - don't know where,pit latrine - with slab,v.i.p. latrine,,,latrine a fosse,toilet on water,No facilities (open defecation),,,Offline,Toilet or w.c.collective use,,
flush connected to public sewerage,flush - to septic tank,flush - to pit latrine,pit latrine w. slab and foot rest,vent. imp. pit latr.,,,latrine collective use,"toilet to creek, open space",no facilities or bush or field,,,Ordinary Vault Latrine,uso comun,,
flush connected to sewer/with septic tank,flush to septic,flush - to somewhere else,pit latrine w. slab/cover and foot rest,vent. imp. pit latrine,,,latrine family use,toilet to river /lake,No facilities or bush or field,,,out/private,USO COMUN,,
Flush to piped sewage system,Flush to septic tank,flush conn. to pit,pit latrine water seal,vent.imp.pit latrine,,,Latrine forresidents andneighborhood,toilet to river/lake,"no facilities, bush",,,outside dwelling,Uso común,,
Flush to piped sewer system,flush to septic tank,Flush conn. to pit,pit latrine with drainage,Vent.imp.pit latrine,,,Latrine forresidents only,toilet/hanging latrine,"no facilities, bush",,,outside house exclusive,wc a l ext/collectif,,
flush to piped sewer system,flush toilet connected to a septic tank,flush connected to open drain,Pit latrine with Slab,vented improved pit latrine,,,latrine no-connected,toilette suspendues/latrines suspendues,"no facilities, bush, field",,,outside private,wc a l'ext. collect.,,
flush to piper sewer,flush toilet septic,flush connected to pit,Pit latrine with slab,ventil. improv. pit,,,latrine shared/general/other,Toilettes suspendues/latrines suspendues,No facilities/ bush/ field,,,own water closet,WC … l ext. collect.,,
flush to sewage,flush toilet to septic tank,flush don't know where,pit latrine with slab,Ventilated covered pit latrine,,,latrine to other,traditional toilet to sea/river (low tide),No facilities/bush,,,own WC,,,
flush to sewage system,flush with septic ta,Flush dont know where,pit latrine with slab and cover,ventilated improv pt,,,latrine traditionnelle,toilet hanging (on stilts),no facilities/bush/field,,,percolation pit latrine,,,
flush to sewage system or septic tank,Flush with Septic Tank Exclusive,flush latrine,pit latrine with slab that can not be washed,ventilated improved (vip),,,"latrine, community",,no facility,,,personal toilet,,,
flush to sewage system/septic tank,Flush with Septic Tank Shared,flush or pour flush toilet,Pit latrine with slab/closed pit,ventilated improved latrine,,,"Latrine, Pit",,no facility  / field,,,Priv. no septic tank,,,
flush to sewer,flush/cresspit,flush other,pit latrine with washable slab,ventilated improved pit,,,"latrine, private",,no facility (bush/field),,,private - without septic tank,,,
Flush to sewer,flush/pour-flash connected to a septic tank,flush other,pit latrine with watertight tank,ventilated improved pit (vip) latrine,,,latrine- exclusive,,no facility (bush/field),,,private no septic,,,
flush to sewer system,flush/pour-flashed connected to a septic tank,flush system,"pit latrine, with slab",ventilated improved pit (vip) latrines,,,latrine- shared,,no facility / bush / field,,,private toilet,,,
flush toilet (sewer),flust toilet (septic tank),flush to absorption pit,pit toilet with basinet (private),ventilated improved pit latrine,,,latrines,,no facility /bush,,,Private toilet,,,
flush toilet + sewer,fosa septica,flush to elsewhere,pit toilet with bassinet (shared),Ventilated Improved Pit Latrine,,,latrines a fosses/trou ouvert,,no facility /bush/field,,,private toilet with no septic tank,,,
flush toilet - sewer,Fossa Septica,flush to latrine,"priv latrine, box",Ventilated improved pit latrine,,,Latrines a fosses/trou ouvert,,No facility /bush/field,,,private toilet without septic tank,,,
flush toilet connected to sewer system,fossa septica,flush to pit,private latrine with slab,Ventilated Improved Pit latrine,,,latrines a trou ouvert (tranchée),,"No facility, bush",,,Private Toilet without Septic Tank,,,
flush toilet sewer,fosse d'aisance du latrine,flush to pit (latrine),Pucca (water sealed),ventilated improved pit latrine (laa),,,Latrines ordinaires,,"no facility, bush",,,"private toilet, inside house",,,
flush toilet to piped sewer system,fosse septique,Flush to pit (latrine),sealed pit,ventilated improved pit latrine (vip),,,latrines traditionelles,,"no facility, bush, field",,,"private toilet, outside house",,,
Flush toilet to sewer,Fosse septique,flush to pit latrine,share latrine with slab,Ventilated Improved Pit latrine (VIP),,,latrines traditionnelle ou non couverte,,"no facility, bush/field",,,private with no septic tank,,,
flush toilet with septic tank/sewage pipes,hole (pozo ciego),Flush to pit latrine,"share latrine, box",Ventilated Improved Pit Latrine (VIP),,,latrines traditionnelles,,"no facility, bush/field/public toilet",,,private without septic tank,,,
flush with sewer,household flush (connected to septic tank),flush to somewhere else,TASA CAMPESINA,ventilated improved pit toilet,,,Latrines traditionnelles réhab,,"no facility, nature",,,"private, without septic tank",,,
Flush/pour flush to piped sewer system,hoyo negro o pozo ciego,Flush to somewhere else,traditional covered latrine,ventilated improved pit/latrine (vip blair toilet),,,Letrina,,"no facility,bush",,,pvt. no septic tank,,,
flush/pour-flash connected to a piped sewer system,indoro/pozo septico,flush to unknown place,traditional pit toilet (covered),ventilated improved privy,,,LETRINA,,no facility/ bush/ field,,,Sanitary,,,
Flush/sewerage,Inodoro a fosa septica,flush to unknown place/not sure/dk where,uncovered pit latrine with slab,ventilated latrine,,,letrina,,no facility/ bush/ field/ river,,,sanitary platform latrine,,,
flushed to piped sewer system,inodoro a fosa septica,Flush to unknown place/not sure/dk where,"uncovered pit latrine, with slab",ventilated pit,,,letrina (fosa),,"no facility/bush, field",,,servicio sanitario exclusivo con admision no especificada,,,
Flushed to piped sewer system,inodoro a fosa séptica,flush toileet,water seal,ventilated pit latrine,,,letrina abierta,,no facility/bush/field,,,servicio sanitario exclusivo no especificado,,,
household flush (connected to municipal sewer),inodoro conectado a fosa septica,flush toilet,water sealed /slab,Ventilated pit latrine,,,Letrina colec s/caj,,No facility/bush/field,,,servicio sanitario exclusivo sin admision de agua,,,
Independent flush toilet inside house,inodoro conectado a sumidero o pozo septico,Flush toilet,water sealed /slab la,ventilated/improved pit latrine,,,letrina compartida sin cajon,,NO FACILITY/BUSH/FIELD,,,servicio sanitario sin conexion de agua,,,
Independent flush toilet outside house,"Inodoro, conectado a sumidero o pozo septico",Flush Toilet,water sealed/slab la,Ventilation Improved Pit latrine/KVIP,,,letrina compartida sin cajón,,no facility/bush/field/beach,,,silla turca,,,
indoro/alcantarillad,inodoro-pozo septico,flush toilet (private or shared unknown),Water sealed/slab latrine,Ventileted Improved pit latrine,,,LETRINA COMUN,,no facility/bush/field/river,,,Silla turca,,,
inodoro compartido  conectado al alcantarillado,Inodoro-pozo s‚ptico,flush toilet (rain water sewer),water sealed/slab latrine,Vertilated pit latrine,,,letrina comun,,no facility/bush/fld,,,sin servicio sanitario exclusivo,,,
inodoro con alcantarillado/pozo séptico,inodoro-pozo s‚ptico,flush toilet (rivers),water-sealed,VIDP latrine outsids house,,,letrina común,,no facility/field,,,soak away pit,,,
inodoro conectado a red de drenajes,latrine (ciego o negro),flush toilet (sink-sumidero),ÿown improved latrine,VIP,,,Letrina común,,no facility/uses bush/field,,,squatter,,,
inodoro o alcantarillado,latrine connected to a septic tank,flush toilet does not know connection,ÿshared improved latrine,vip,,,Letrina de fosa simple,,no hay sanitarios (defecación al aire libre),,,suilabh,,,
inodoro privado conectado al alcantarillado,Latrine orcesspool,flush toilet in another dwelling,pit latrine with washable slab*,VIP Fosse,,,letrina de hoyo o pozo negro sin plataforma para sentarse,,no hay servicio,,,throne,,,
inodoro que descarga en tuberia de aguas negras,latrine to septic tank,flush toilet in house,pit latrine with non-washable slab*,vip latrine,,,letrina descubierta (sin intimidad),,no latrine,,,toilet connected to plot/yard,,,
"inodoro, conectado a tuberia de aguas negras",letrina o pozo ciego,flush toilet not connected to sewer system,,VIP latrine,,,letrina expuesta,,No Latrine,,,toilet facility in another (different) dwelling,,,
"Inodoro, conectado a tuberias de aguas negras","Letrina, Pozo ciego, escusado",flush toilet private,,"VIP latrine, private",,,Letrina indiv s/caj,,no latrine used,,,toilet in another house,,,
Inodoro-alcantarill.,"letrina, pozo ciego, escusado",flush toilet shared,,"VIP latrine, shared",,,LETRINA MUNIC.,,no mato ou ar livre,,,toilet inside,,,
inodoro-alcantarill.,Modern flush to tank,flush toilet to pit latrine,,VIP toilet,,,letrina o hueco,,No Service,,,Toilet Inside the House,,,
latrine /sewer commun,other - to septic tank,flush toilet to somewhere else,,ÿventilated improved pit latrine,,,letrina privada sin cajon,,no service,,,Toilet or w.c. family use,,,
latrine /sewer privat,"other, to septic tank",flush toilet with connection to open water,,ecosan,,,letrina privada sin cajón,,no tiene,,,toilet outside,,,
latrine connected to sewer/with septic tank,own flush sepctic tank,flush toilet with drainage,,,,,letrina sin conexion de agua,,No tiene,,,Toilet Outside the House,,,
latrine to piped public drainage,own latrine with septic tank,Flush toilet with off-site disposal,,,,,letrina solar sin plataforma para sentarse,,NO TIENE,,,toilet to open drain,,,
latrine to sewer,poceta o pozo septico,Flush toilet with on-site disposal,,,,,Letrina tipo municipal,,no tiene al aire libre,,,toilet to open space,,,
letrina con conexion de agua,por fosa séptica,"flush toilet, private",,,,,letrina tipo municipal,,"no tiene excusado, retrete, sanitario, letrina u hoyo negro",,,toilet to other,,,
linked to sewer,por pozo resumidero,"Flush toilet, private",,,,,letrina tradicional,,No tiene sanitario,,,toilet to others,,,
Linked to sewer,pour flush (or flush) to septic tank or pit,"flush toilet, shared",,,,,letrina/fosa simple,,no tiene sanitario,,,toilet with hole,,,
Local Network,pour-flush latrine connected to septic tank,"Flush toilet, shared",,,,,letrine,,no tiene sanitario o matooral o campo,,,"toilet, no water",,,
Main Sewer,pozo ciego,"flush toilet,private",,,,,neighbor s latrine,,"no tiene sanitario, usa matorral/campo",,,Two or more WC inside,,,
Main sewer,Pozo ciego,"flush toilet,shared",,,,,neighbour's pit latrine,,no tiene servicio higienico,,,two or more wc inside,,,
modern flush,pozo ciego o negro,flush toilet: own,,,,,neighbour's/another household's pit latrine,,no tiene servicio sanitario,,,USO EXCLUSIVO,,,
modern flush to sewers,pozo negro o ciego,flush toilet: shared,,,,,"No, letrine only",,No tiene/al aire libre,,,uso exclusivo,,,
modern flush toilet,Pozo negro o ciego,flush unconnected to sewer/without septic tank,,,,,non covered latrine,,no toilet,,,Uso privado,,,
modern flush toilets,Pozo septico,flush w/o sewer,,,,,"Non-flush, latrine",,No toilet,,,w.c,,,
piped,Pozo séptico,"flush, don't know where",,,,,"non-flush, latrine",,No Toilet,,,w.c. not linked,,,
piped sewage system,Priv. w/septic tank,"flush, in house",,,,,"non-flush, latrine ",,No toilet / bush,,,Washable toilet,,,
pipeline that will give a gully or crack,private - with septic tank,"flush, in-house",,,,,non-ventilated pit latrine,,no toilet facilities,,,Water closet,,,
poceta a cloaca,Private Ceptic/Latrine,"flush, outside house, public restroom",,,,,non-vip pit latrine without slab,,no toilet facility,,,water closet,,,
por alcantarillado,private toilet with septic tank,Flush- shared,,,,,"not connected, non-flush, latrine",,No toilet facility,,,water closet (WC),,,
pour-flush latrine connected to public sewage network,private with septic,Flush-private,,,,,"Of hole, black hole or latrine",,"no toilet facility (bush,beach)",,,WC,,,
private connected to sewer,private with septic tank,Flushed toilet,,,,,open latrine,,"no toilet facility, bush, field",,,wc a l ext/prive,,,
private-Connected to sewer,"private, with septic tank",flushed/water sealed,,,,,Open latrine,,"no toilet facility, nature",,,wc a l interieur,,,
pub sewe,private-Connected to septic tank,"flust, don't know where",,,,,open pit,,"no toilet, in nature",,,wc a l'ext. priv‚,,,
public connected to sewer,Prive Toilet with Septic Tank,indoor flush toilet,,,,,Open pit,,"no toilet, use bush or field",,,wc a l'int. collect.,,,
Public Network,Puits perdu,indoor flush/pour flush toilet,,,,,open pit latrine,,no toilet/bush,,,wc a l'int. priv‚,,,
public network,pvt. w. septic tank,inodoro (de lavar),,,,,open pit toilet,,no toilet/field/bush,,,WC inside the house,,,
public service,sepctic tank,inodoro (lavable),,,,,open privy,,no toilet/field/forest,,,wc inside the house,,,
red publica dentro vivienda,septic,"inside house, flush",,,,,open toilet,,No toilet/open field,,,"wc outside, without piping",,,
red publica fuera de la vivienda,septic hole,Latri or toilette chasse manuelle,,,,,open well/hole in the ground,,no wc,,,"WC outside, without piping",,,
Red pública,septic pit,latrina com descarga de água,,,,,"open, rudimentary",,"No, nothing",,,WC … l ext. priv‚,,,
Rede de Esgoto,septic t,latrine with connection to open water,,,,,ordinary pit latrine,,"Nobathroom,notoilet andnotoilet",,,WC … l interieur,,,
rede de esgoto,Septic tank,latrine with manual flush,,,,,other latrine,,none,,,With bathroom and toilet,,,
Sanitary sewer or septic tank,septic tank,letrina con desagüe,,,,,other latrines,,None,,,Without Bathroom with toilet,,,
servicio sanitario exclusivo con admision directa de agua,Septic Tank,letrina con rubor,,,,,other pit latrine,,None (bush),,,without cement sink,,,
servicio sanitario tiene conexion de agua,Septic tank,Letrina hidraulica/tasa campesina,,,,,outdoor latrine,,"None,open fields",,,,,,
Sewage,septic tank (private sewage disposal,letrina hidraulica/tasa campesina,,,,,own latrine without septic tank,,None/not stated,,,,,,
sewage,Septic tank (private sewage disposal),neighbour's flush,,,,,Own pit latrine,,none/open field/bush,,,,,,
sewage system (public sewage disposal,septic tank /modern,neighbour's flush toilet,,,,,own pit latrine,,Not Applicable,,,,,,
Sewage system (public sewage disposal),septic tank /toilet,"not connected, flush toilet",,,,,own pit toilet /latrine,,"not connected, no toilet",,,,,,
Sewer,septic tank/modern toilet,"Not connected, flush toilet",,,,,OWN PIT TOILET/LATRINE,,"Not connected, no toilet",,,,,,
Sewer connected to toilet- exclusive,Septic tank/modern toilet,"outside house, flush",,,,,own pit toilet/latrine,,open air,,,,,,
Sewer connected to toilet- shared,septic tank/toilet,own flush toilet,,,,,own trad pit toilet,,open field,,,,,,
sewerage,septic well,Own flush toilet,,,,,own trad. pit toilet,,Open land,,,,,,
Sewerage,"shared, with septic tank",OWN FLUSH TOILET,,,,,own traditional pit toilet,,other - to pond/field rice,,,,,,
sewerage system,shared-Connected to septic tank,own flush toilet inside the house,,,,,pit,,other - to shore/open field,,,,,,
"shared with another household, connected to trainage system",sumidero o pozo séptico,own flush toilet outside the house,,,,,Pit,,pas de toil./ nature,,,,,,
shared-Connected to sewer,Toilet connected to septic tank for use by a family,own flush toilet outsite/yard,,,,,pit /latrine,,pas de toilette,,,,,,
